id,name,type,start_date,distance_km,moving_time,moving_time_hms,avg_speed_kmh,kilojoules,map_summary_polyline,NM_UF,NM_MUN
17189058193,Night Run,Run,2026-01-27 00:46:49,5.0062,1646,0:27:26,10.9476,542.9,~loKppeaHaA@w@CaAU}Bq@}Bg@OAK@OL_BxEeAnDWr@kAvDo@xAyAjE_@lAaAhC[hAoC`IkBzFqAlDaFjOoAnD]r@Mx@BB@AHO\wA|@uClAiDx@iCrAsDdAkDPa@hBsFPa@Rq@Ti@t@wBl@uBXo@ZcA`@}@T}@Zy@Nm@b@sAj@yAj@y@@FVNrAb@|AVj@LdAZn@ZzAf@JIFHpL|Db@Px@f@vC`AL?HCDEHKNm@NeAd@cB,Pará,Mãe do Rio
17189058021,Afternoon Run,Run,2026-01-26 16:48:05,0.789,1274,0:21:14,2.2284,0.0,,,
17189058042,Afternoon Weight Training,WeightTraining,2026-01-26 16:06:02,0.0,2337,0:38:57,0.0,0.0,,,
17189058038,Lunch Run,Run,2026-01-26 15:59:48,0.5143,309,0:05:09,5.9904,0.0,,,
17189057884,Morning Workout,Workout,2026-01-26 11:54:36,0.0,967,0:16:07,0.0,0.0,,,
17171830803,Morning Run,Run,2026-01-25 12:07:36,4.0069,1548,0:25:48,9.3168,457.8,dxsBtat_HhAmAf@w@h@u@zBaCfAsALMFCAF{@x@qA~Ay@z@w@fAi@~@}AbBY^iBpDo@tBa@jBQ~@QtAOdBAVD^HbC?dCGpFKtBk@lEWjCm@`Ee@vFc@rCMdA{AxHOpAUdBLsA`@uBDu@T_AXiBf@mBH{@^mBVqDB_ANs@\aCHaBVqBj@{FHo@NaFAo@@kAKcAEcBJ{B,Pará,Salinópolis
17171830826,Evening Run,Run,2026-01-24 21:36:16,0.49760000000000004,202,0:03:22,8.866800000000001,8.6,,,
17171830544,Afternoon Walk,Walk,2026-01-24 20:22:06,0.8138,676,0:11:16,4.3344,0.0,znsB`|v_HMIS[m@qAEc@MQKKYOi@M]So@Q_@G_Ac@a@GGEAFCC,Pará,Salinópolis
17171830683,Afternoon Walk,Walk,2026-01-24 19:47:07,0.7336,555,0:09:15,4.759200000000001,0.0,jisBfuv_Hb@HVJVDFEHSRELILYFQDE\IH@JHP@NATG,Pará,Salinópolis
17171830375,Morning Weight Training,WeightTraining,2026-01-24 13:44:48,0.0,2163,0:36:03,0.0,0.0,,,
17160287763,Morning Run,Run,2026-01-24 11:16:57,6.0745,2182,0:36:22,10.0224,673.7,zuvB`_v_HmIwIk@e@KCuApAMRwNdN_E~DoWrV}BdCeDrCgI~Ho@h@eC`C[Ta@R]HQ@mASq@Q_AMuLwBmB_@_Bc@KAXNYGI?KLATJHj@PxCb@nCh@|A\lF`A`B^h@Bb@C^Gj@OZMd@_@|MgMzGuGLGZETQjBmBjJaJz@s@`CwBpEoE~@{@jFgF`A}@p@u@jBaBfDgDHCHANJ`AdA|@x@n@v@pClC,Pará,Salinópolis
17160287520,Lunch Run,Run,2026-01-23 15:20:54,5.3113,3049,0:50:49,6.2712,0.0,,,
17160287476,Morning Run,Run,2026-01-22 11:18:34,1.2664000000000002,828,0:13:48,5.5043999999999995,0.0,,,
17160287482,Morning Weight Training,WeightTraining,2026-01-22 10:38:04,0.0,2402,0:40:02,0.0,0.0,,,
17136947123,Morning Run,Run,2026-01-22 09:39:41,4.299600000000001,2387,0:39:47,6.4836,413.6,zloKnpeaHsAAg@Eg@KmBi@s@KmA]o@KKDGLe@bBBFHFbHnD`@Px@L|ABpA?x@ClG]~BUf@IBE@GKc@[yBQMQ?gFHMBQJYAa@E[AiABwC?q@GeF{AmAOI?EHe@rAGT@Fl@^bBx@xAz@rAl@\Jl@HjC@jACnG[rD]DE?GKo@UiBGKSGyFLoHHo@Au@McCs@cCm@UKE?A@FFRFlEnAvA\l@FzKKlBEt@ET@JJLlATfABx@,Pará,Mãe do Rio
